,股票简称,昨收,前连板,昨封单,昨开,昨首停,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
605028.SH,世茂能源,10.0,3,4829965.0,9.995953055443135,2021-07-15 09:30:00,20210715,True,False,10.0,10.0,-10.0,-8.3108,-8.7693,0.0,1.6891999999999996
002140.SZ,东华科技,10.0,3,6614759.0,9.890109890109892,2021-07-15 09:30:30,20210715,False,True,10.0,-1.2386,-4.7659,4.1264,10.0,0.0,8.7614
603171.SH,税友股份,10.0,11,1148900.0,4.41767068273093,2021-07-15 09:35:45,20210715,False,False,-9.7298,10.0,-8.2353,-6.5505,1.2862,0.0,-9.7298
605162.SH,新中港,10.0,7,7620860.0,10.012919896640831,2021-07-16 09:30:00,20210716,True,False,-0.1762,-10.0,-8.4314,-9.7787,-7.2785,0.0,-0.1762
605020.SH,永和股份,10.0,5,13359056.0,9.98632010943912,2021-07-16 09:30:00,20210716,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605028.SH,世茂能源,10.0,4,6119440.0,10.00735835172921,2021-07-16 09:30:00,20210716,True,False,10.0,-10.0,-8.3108,-8.7693,-3.433,0.0,-8.3108
002923.SZ,润都股份,-6.45382767,2,,9.989701338825952,2021-07-16 09:30:00,20210716,True,False,-0.5138,-3.0616,0.4186,5.305,-3.9942,-16.45382767,-16.96762767
603171.SH,税友股份,-9.7298284,12,,4.03431909456006,2021-07-16 09:31:00,20210716,False,True,10.0,-8.2353,-6.5505,1.2862,-2.5397,-19.729828400000002,-17.965128400000005
000506.SZ,中润资源,10.0,2,10491863.0,-1.8450184501844953,2021-07-16 09:33:45,20210716,False,False,10.0,10.0,10.0,-7.5567,10.0,0.0,22.4433
605011.SH,杭州热电,10.0,12,725450.0,1.776549545992905,2021-07-16 09:37:15,20210716,False,False,-10.0,-10.0,-5.1418,-3.6916,-8.8792,0.0,-25.1418
002140.SZ,东华科技,10.0,4,527733.0,5.903723887375116,2021-07-16 09:57:30,20210716,False,False,-1.2386,-4.7659,4.1264,10.0,-10.0,0.0,-1.2386
605020.SH,永和股份,10.0,6,15533789.0,10.012437810945292,2021-07-19 09:30:00,20210719,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605028.SH,世茂能源,10.0,5,5297321.0,10.000000000000009,2021-07-19 09:30:00,20210719,True,False,-10.0,-8.3108,-8.7693,-3.433,0.3346,0.0,-18.3108
002140.SZ,东华科技,-1.23864575,5,,7.266721717588777,2021-07-19 09:30:45,20210719,False,True,-4.7659,4.1264,10.0,-10.0,3.8298,-11.23864575,-16.00454575
000506.SZ,中润资源,10.0,3,11792100.0,6.375838926174494,2021-07-19 09:32:30,20210719,False,False,10.0,10.0,-7.5567,10.0,0.9901,0.0,12.4433
605020.SH,永和股份,10.0,7,12886034.0,10.005652911249289,2021-07-20 09:30:00,20210720,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000506.SZ,中润资源,10.0,4,10710321.0,10.0609756097561,2021-07-20 09:30:45,20210720,False,True,10.0,-7.5567,10.0,0.9901,10.0,0.0,2.4433
002598.SZ,山东章鼓,10.0,2,2844300.0,-0.6726457399103195,2021-07-20 09:33:15,20210720,False,False,0.2039,-1.0173,4.8304,5.7843,-10.0,0.0,0.2039
605020.SH,永和股份,10.0,8,10571590.0,10.020554984583757,2021-07-21 09:30:00,20210721,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002564.SZ,天沃科技,10.0,2,2977046.0,5.622489959839344,2021-07-21 09:31:30,20210721,False,True,-8.9416,2.2044,-3.7255,-7.943,1.7699,0.0,-8.9416
000506.SZ,中润资源,10.0,5,12713322.0,6.648199445983385,2021-07-21 09:32:00,20210721,False,False,-7.5567,10.0,0.9901,10.0,-10.0,0.0,-7.5567
300813.SZ,泰林生物,20.0,2,332000.0,19.999999999999993,2021-07-21 09:34:45,20210721,False,False,16.3943,-4.3013,-13.8333,6.6081,-4.9182,10.0,26.3943
000561.SZ,烽火电子,10.0,2,12006474.0,9.056603773584902,2021-07-21 14:49:08,20210721,False,False,-2.4,-0.9368,6.2648,-5.3393,-10.0,0.0,-2.4
300077.SZ,国民技术,20.0,2,1190137.0,9.935776350585577,2021-07-21 14:54:53,20210721,False,False,3.432,-3.9269,0.1901,10.7527,0.0857,10.0,13.432
605020.SH,永和股份,10.0,9,16299633.0,9.995329285380667,2021-07-22 09:30:00,20210722,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605056.SH,咸亨国际,10.0,2,5760701.0,9.98613037447989,2021-07-22 09:30:00,20210722,True,False,10.0,-6.3814,10.0,-10.0,-2.2259,0.0,3.6186
605365.SH,立达信,10.0,2,4369194.0,10.007440476190482,2021-07-22 09:30:00,20210722,True,False,10.0,-7.7774,-10.0,-10.0,4.153,0.0,2.2226
002418.SZ,康盛股份,4.56730769,2,,3.8461538461538494,2021-07-22 11:08:30,20210722,False,True,-8.7356,10.0,-3.8902,7.619,-0.6637,-5.43269231,-14.16829231
605020.SH,永和股份,10.0,10,10662815.0,10.021231422505306,2021-07-23 09:30:00,20210723,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
605056.SH,咸亨国际,10.0,3,1405326.0,10.00420344682641,2021-07-23 09:30:00,20210723,True,False,-6.3814,10.0,-10.0,-2.2259,10.0,0.0,-6.3814
605365.SH,立达信,10.0,3,3433909.0,10.01014541765303,2021-07-23 09:30:00,20210723,True,False,-7.7774,-10.0,-10.0,4.153,-7.7773,0.0,-7.7774
002897.SZ,意华股份,10.0,2,1549945.0,9.982014388489219,2021-07-23 09:30:15,20210723,False,True,10.0,10.0,-1.6892,4.811,-2.9508,0.0,18.3108
002176.SZ,江特电机,10.0,2,2934570.0,6.386975579211006,2021-07-23 09:51:30,20210723,False,False,-0.8537,-3.7887,-9.8449,10.0,10.0,0.0,-0.8537
003038.SZ,鑫铂股份,-3.93873085,2,,6.977875030391436,2021-07-23 10:03:30,20210723,False,False,10.0,10.0,-4.8316,10.0,1.8981,-13.938730849999999,1.2296691500000012
000572.SZ,海马汽车,10.0,2,2303100.0,6.743421052631581,2021-07-23 14:52:12,20210723,False,False,10.0,-9.375,-5.5472,0.1587,-0.9509,0.0,0.625
605020.SH,永和股份,10.0,11,8072357.0,9.996140486298726,2021-07-26 09:30:00,20210726,True,False,10.0,10.0,10.0,-10.0,5.5344,0.0,25.534399999999998
002897.SZ,意华股份,10.0,3,3134850.0,10.016353229762876,2021-07-26 09:30:00,20210726,True,False,10.0,-1.6892,4.811,-2.9508,10.0,0.0,8.3108
000572.SZ,海马汽车,10.0,3,3698000.0,0.0,2021-07-26 14:28:20,20210726,False,True,-9.375,-5.5472,0.1587,-0.9509,10.0,0.0,-9.375
605020.SH,永和股份,10.0,12,2963594.0,10.000000000000004,2021-07-27 09:30:00,20210727,True,False,10.0,10.0,-10.0,5.5344,-6.465,0.0,15.5344
002201.SZ,正威新材,10.0,2,2793933.0,10.020964360586989,2021-07-27 09:30:00,20210727,True,False,2.1341,0.9701,-10.0,-1.807,-6.5663,0.0,2.1341
002897.SZ,意华股份,10.0,4,866820.0,4.719435154217761,2021-07-27 09:31:00,20210727,False,True,-1.6892,4.811,-2.9508,10.0,-2.457,0.0,-1.6892
600490.SH,鹏欣资源,2.01465201,2,,7.326007326007333,2021-07-27 09:31:15,20210727,False,False,-10.0,5.3892,3.9773,0.3643,-5.8076,-7.98534799,-12.596147990000002
600331.SH,宏达股份,10.0,2,1241500.0,3.058103975535171,2021-07-27 10:46:30,20210727,False,False,-10.0,9.8765,-0.5618,-9.6045,-7.8125,0.0,-0.12349999999999994
002913.SZ,奥士康,10.0,2,308905.0,4.722075172048696,2021-07-27 10:53:15,20210727,False,False,-3.1088,8.2746,-3.6697,5.7143,-3.8919,0.0,-3.1088
600767.SH,运盛医疗,5.06134969,2,2310399.0,5.061349693251535,2021-07-28 09:30:00,20210728,True,False,4.9635,0.8345,4.9655,4.9934,2.378,-4.93865031,0.024849689999999924
605167.SH,利柏特,10.0,2,27236320.0,10.039113428943931,2021-07-28 09:30:00,20210728,True,False,10.0,10.0,10.0,-10.0,-10.0,0.0,10.0
605066.SH,天正电气,10.0,2,2998025.0,-0.43316831683168494,2021-07-28 09:41:15,20210728,False,True,10.0,-10.0,-2.5,-8.683,5.2967,0.0,-2.5
605020.SH,永和股份,10.0,13,927882.0,-1.1483253588516842,2021-07-28 14:54:16,20210728,False,False,10.0,-10.0,5.5344,-6.465,2.3435,0.0,5.5344
600767.SH,运盛医疗,4.96350365,3,1924766.0,4.963503649635047,2021-07-29 09:30:00,20210729,True,False,0.8345,4.9655,4.9934,2.378,-1.467,-5.03649635,-4.20199635
605066.SH,天正电气,10.0,3,2931400.0,10.011248593925746,2021-07-29 09:30:00,20210729,True,False,-10.0,-2.5,-8.683,5.2967,-1.9394,0.0,-12.5
605167.SH,利柏特,10.0,3,35694772.0,9.952606635071088,2021-07-29 09:30:00,20210729,True,False,10.0,10.0,-10.0,-10.0,4.1758,0.0,4.1758
002902.SZ,铭普光磁,7.62331839,2,,9.993593850096108,2021-07-29 09:30:00,20210729,True,False,-10.0,1.1905,-4.1176,1.4997,-2.0819,-2.3766816100000003,-11.18618161
605020.SH,永和股份,10.0,14,363084.0,9.770948100898805,2021-07-29 09:31:30,20210729,False,True,-10.0,5.5344,-6.465,2.3435,-9.8551,0.0,-4.4656
000695.SZ,滨海能源,8.42245989,2,,1.6042780748662997,2021-07-29 09:59:45,20210729,False,False,-10.0,4.2466,-5.1248,1.8006,2.9932,-1.5775401099999993,-7.330940109999999
600767.SH,运盛医疗,0.83449235,4,,5.006954102920715,2021-07-30 09:30:00,20210730,True,False,4.9655,4.9934,2.378,-1.467,4.9628,-9.16550765,-4.200007650000001
605167.SH,利柏特,10.0,4,18045713.0,10.021551724137947,2021-07-30 09:30:00,20210730,True,False,10.0,-10.0,-10.0,4.1758,-7.4895,0.0,-5.8242
603559.SH,中通国脉,10.0,2,12066379.0,10.024752475247531,2021-07-30 09:30:00,20210730,True,False,-9.4488,-8.0745,2.4324,-2.6385,-2.168,0.0,-9.4488
002455.SZ,百川股份,10.0,2,5148448.0,7.702612190221022,2021-07-30 09:31:15,20210730,False,True,10.0,-4.928,10.0,1.2176,-2.0921,0.0,5.072
603115.SH,海星股份,10.0,2,182826.0,9.673790776152973,2021-07-30 09:33:45,20210730,False,False,6.5951,-10.0,0.3197,-6.6383,9.2719,0.0,6.5951
300827.SZ,上能电气,20.0,2,447700.0,3.953963244848715,2021-07-30 10:25:45,20210730,False,False,,,,,,10.0,
603214.SH,爱婴室,10.0,2,151440.0,6.264964086193138,2021-07-30 11:24:02,20210730,False,False,-1.3058,10.0,-0.2339,-2.8801,-4.069,0.0,-1.3058
300329.SZ,海伦钢琴,20.0,2,,1.1959521619135307,2021-07-30 14:27:41,20210730,False,False,-3.9877,10.3035,-4.3447,-11.1279,1.0221,10.0,6.0123
605167.SH,利柏特,10.0,5,8578125.0,9.990205680705186,2021-08-02 09:30:00,20210802,True,False,-10.0,-10.0,4.1758,-7.4895,1.3683,0.0,-15.824200000000001
002455.SZ,百川股份,10.0,3,1241371.0,9.987819732034087,2021-08-02 09:30:00,20210802,True,False,-4.928,10.0,1.2176,-2.0921,10.0,0.0,-4.928
001210.SZ,金房节能,10.0,2,9499614.0,10.009017132551843,2021-08-02 09:30:00,20210802,True,False,10.0,-10.0,-8.9629,-8.9359,-3.3458,0.0,-8.9629
002335.SZ,科华数据,10.0,2,7811902.0,9.988606152677564,2021-08-02 09:30:00,20210802,True,False,0.4834,10.0,2.6242,-1.9787,3.0435,0.0,0.4834
603683.SH,晶华新材,9.13461538,2,,9.903846153846148,2021-08-02 09:30:15,20210802,False,True,10.0,0.8807,10.0,0.0,-6.3492,-0.8653846200000004,10.01531538
002518.SZ,科士达,5.45325779,2,,6.196883852691219,2021-08-02 09:31:30,20210802,False,False,-4.9698,10.0,2.7947,1.1875,-2.1309,-4.54674221,-9.51654221
300693.SZ,盛弘股份,14.42067241,2,,13.920533481522638,2021-08-02 09:34:00,20210802,False,False,4.4196,5.3488,-4.6358,2.6157,5.9328,4.42067241,8.84027241
601126.SH,四方股份,7.32421875,2,,7.421874999999997,2021-08-02 09:34:30,20210802,False,False,-4.4586,5.7143,-3.2432,0.4655,10.0,-2.67578125,-7.13438125
002176.SZ,江特电机,10.0,2,5123200.0,8.862144420131276,2021-08-02 09:35:30,20210802,False,False,2.4366,10.0,7.5905,6.2346,-4.556,0.0,2.4366
603115.SH,海星股份,6.59509202,3,,-3.732106339468305,2021-08-02 09:47:01,20210802,False,False,-10.0,0.3197,-6.6383,9.2719,-3.1754,-3.40490798,-13.085207980000002
300508.SZ,维宏股份,20.0,2,765148.0,8.98617511520737,2021-08-02 09:58:31,20210802,False,False,7.9877,7.1124,-5.4615,-3.0553,5.5425,10.0,17.9877
601636.SH,旗滨集团,10.0,2,886750.0,8.040442946557544,2021-08-02 13:12:00,20210802,False,False,-4.07,1.5055,-4.4944,-1.7882,-2.7791,0.0,-4.07
001210.SZ,金房节能,10.0,3,11815834.0,10.000000000000005,2021-08-03 09:30:00,20210803,True,False,-10.0,-8.9629,-8.9359,-3.3458,1.2658,0.0,-18.962899999999998
002335.SZ,科华数据,0.48342541,3,,5.28314917127071,2021-08-03 09:34:34,20210803,False,True,10.0,2.6242,-1.9787,3.0435,4.4304,-9.51657459,3.1076254100000007
002837.SZ,英维克,10.0,2,3326781.0,6.16357171078626,2021-08-03 09:38:04,20210803,False,False,10.0,6.0091,10.0,-4.4245,-0.8204,0.0,16.0091
002455.SZ,百川股份,-4.92801772,4,,0.830564784053168,2021-08-03 09:43:49,20210803,False,False,10.0,1.2176,-2.0921,10.0,10.0,-14.92801772,-3.7104177199999997
002176.SZ,江特电机,2.43659871,3,,4.1272998508204966,2021-08-03 09:46:19,20210803,False,False,10.0,7.5905,6.2346,-4.556,-7.8479,-7.56340129,10.02709871
601669.SH,中国电建,7.46268657,2,,4.104477611940293,2021-08-03 09:49:04,20210803,False,False,0.5208,-6.2176,2.2099,-2.1622,-2.0258,-2.53731343,-2.0165134300000003
