,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
453,000011.SZ,深物业A,2021-03-17 09:30:30,10.0,2,4928891.0,5.159010600706717,20210317,False,True,4.3674,-7.3846,3.1229,-10.0,-5.655,0.0,4.3674
461,002900.SZ,哈三联,2021-03-18 09:33:00,10.0,2,3101920.0,7.142857142857135,20210318,False,True,10.0,10.0,-4.0613,10.0,-10.0,0.0,15.9387
469,600212.SH,江泉实业,2021-03-19 09:30:15,10.0,2,13973982.0,8.685968819599102,20210319,False,True,6.0729,-5.1527,-10.0,-9.1723,0.9852,0.0,6.0729
477,600505.SH,西昌电力,2021-03-22 09:30:15,10.0,2,9098206.0,7.542579075425781,20210322,False,True,-2.9867,-8.4379,-10.0,2.0747,0.542,0.0,-2.9867
489,600396.SH,金山股份,2021-03-23 09:30:30,6.04026846,2,,10.067114093959724,20210323,False,True,-8.8608,-10.0,1.5444,3.8023,-3.663,-3.95973154,-12.82053154
501,605303.SH,园林股份,2021-03-24 09:30:15,10.0,2,4004946.0,9.168808911739506,20210324,False,True,-5.9213,10.0,6.3229,-10.0,-6.803,0.0,-5.9213
519,603778.SH,乾景园林,2021-03-25 09:30:30,10.0,2,7951649.0,8.411214953271031,20210325,False,True,10.0,9.8765,-10.0,5.3042,-10.0,0.0,19.8765
526,600917.SH,重庆燃气,2021-03-26 09:30:30,10.0,2,6082683.0,5.975197294250295,20210326,False,True,10.0,10.0,-1.7782,-3.1897,3.4728,0.0,18.2218
536,600917.SH,重庆燃气,2021-03-29 09:30:30,10.0,3,2902129.0,8.60655737704918,20210329,False,True,10.0,-1.7782,-3.1897,3.4728,10.0,0.0,8.2218
548,002941.SZ,新疆交建,2021-03-30 09:30:15,10.0,2,10135663.0,10.007468259895443,20210330,False,True,10.0,-10.0,-6.3786,0.9524,-1.8868,0.0,-6.3786
572,603080.SH,新疆火炬,2021-03-31 09:30:15,10.0,3,171200.0,8.592692828146154,20210331,False,True,2.829,10.0,-10.0,-0.9668,-5.9182,0.0,2.829
586,003036.SZ,泰坦股份,2021-04-01 09:30:15,10.0,2,5576059.0,9.952925353059868,20210401,False,True,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600,000065.SZ,北方国际,2021-04-02 09:30:15,7.97310279,4,,8.837656099903938,20210402,False,True,-2.9359,-1.0082,-10.0,-4.9332,0.4324,-2.02689721,-4.96279721
615,603988.SH,中电电机,2021-04-06 09:30:30,10.0,5,4201181.0,7.711442786069637,20210406,False,True,10.0,-10.0,-9.4564,-0.4541,-10.0,0.0,-9.4564
635,605208.SH,永茂泰,2021-04-07 09:30:45,10.0,4,1784372.0,9.795918367346932,20210407,False,True,-10.0,-8.9093,2.6105,-6.7503,1.1641,0.0,-18.9093
657,605208.SH,永茂泰,2021-04-08 09:30:30,-10.0,5,,8.418949771689507,20210408,False,True,-8.9093,2.6105,-6.7503,1.1641,10.0,-20.0,-28.9093
672,605299.SH,舒华体育,2021-04-09 09:30:15,10.0,3,5262743.0,8.139534883720943,20210409,False,True,-10.0,-10.0,-5.0881,1.4433,-3.1843,0.0,-25.0881
690,605099.SH,共创草坪,2021-04-12 09:31:00,10.0,2,372658.0,8.071505958829892,20210412,False,True,-8.1015,3.537,0.9317,1.9231,-0.5283,0.0,-8.1015
702,002053.SZ,云南能投,2021-04-13 09:30:45,-8.78378378,4,,10.038610038610049,20210413,False,True,-6.9841,-7.9636,0.7417,-0.6135,-0.6173,-18.78378378,-25.76788378
717,003042.SZ,中农联合,2021-04-14 09:30:30,-10.0,6,,6.957217113154731,20210414,False,True,-10.0,-7.0318,-0.69,1.4431,-5.3741,-20.0,-37.0318
731,603817.SH,海峡环保,2021-04-15 09:32:00,1.92572215,2,,4.951856946354887,20210415,False,True,-8.7719,-2.5148,-3.1866,-0.627,-1.8927,-8.07427785,-16.84617785
