,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
003032.SZ,传智教育,2021-01-15 09:30:00,10.0,3,10946632.0,9.972862957937588,20210115,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
002305.SZ,南国置业,2021-01-15 09:30:30,10.0,2,21995887.0,8.490566037735835,20210115,False,True,9.8712,10.1563,10.0,-9.0323,-10.0,0.0,9.8712
600185.SH,格力地产,2021-01-15 09:31:15,3.87811634,3,,6.648199445983385,20210115,False,False,-5.3333,-0.7042,-0.5674,-4.8502,-5.0975,-6.12188366,-11.45518366
600379.SH,宝光股份,2021-01-15 09:38:00,1.12219451,3,,4.738154613466344,20210115,False,False,-5.5487,-5.2219,-3.8567,-1.0029,-6.8017,-8.87780549,-14.42650549
002813.SZ,路畅科技,2021-01-15 09:42:30,10.0,4,1566600.0,-0.4267425320056934,20210115,False,False,10.0,10.0,-7.9904,-6.3317,-5.1163,0.0,12.009599999999999
600793.SH,宜宾纸业,2021-01-15 09:55:15,10.0,7,2053480.0,4.571070757670624,20210115,False,False,10.0,10.0,-7.3377,-4.3147,1.2202,0.0,12.6623
003026.SZ,中晶科技,2021-01-15 10:11:02,-5.13477601,2,,-0.3416856492027329,20210115,False,False,10.0,-1.3006,-6.5979,3.7786,-1.1313,-15.13477601,-6.43537601
603698.SH,航天工程,2021-01-15 14:15:40,10.0,4,3330171.0,-9.971014492753627,20210115,False,False,-6.3224,-8.099,1.7748,-3.6079,-6.3631,0.0,-6.3224
003031.SZ,中瓷电子,2021-01-18 09:30:00,10.0,10,8977018.0,10.005783689994226,20210118,True,False,10.0,10.0,10.0,10.0,4.7152,0.0,44.7152
003032.SZ,传智教育,2021-01-18 09:30:00,10.0,4,8190924.0,9.993830968537923,20210118,True,False,10.0,10.0,10.0,-10.0,-5.3371,0.0,14.6629
002305.SZ,南国置业,2021-01-18 09:30:00,9.87124464,3,11856836.0,9.871244635193133,20210118,True,False,10.1563,10.0,-9.0323,-10.0,-9.8425,-0.12875535999999954,10.995244640000003
002263.SZ,大东南,2021-01-18 09:30:30,10.0,2,37582923.0,9.309309309309311,20210118,False,True,-3.8251,10.0,-4.9096,-10.0,-6.9486,0.0,-3.8251
002280.SZ,联络互动,2021-01-18 09:31:45,4.72972973,2,9094523.0,4.729729729729734,20210118,False,False,5.1613,-0.6135,-1.8519,-1.8868,5.1282,-5.27027027,-0.10897027000000037
002681.SZ,奋达科技,2021-01-18 09:31:45,5.01193317,2,4077600.0,4.2959427207637155,20210118,False,False,2.2727,5.1111,-2.537,4.9892,4.9587,-4.98806683,-2.7153668300000002
300906.SZ,日月明,2021-01-18 09:32:00,20.0,2,1032967.0,20.00448028673835,20210118,False,False,20.0,-1.6024,1.7075,-10.928,0.6981,10.0,28.3976
603500.SH,祥和实业,2021-01-18 09:32:00,10.0,2,1685100.0,4.448105436573304,20210118,False,False,10.0,10.0,-10.0,-10.0,-10.0,0.0,-10.0
600793.SH,宜宾纸业,2021-01-18 09:34:45,10.0,8,2300380.0,8.138873079112122,20210118,False,False,10.0,-7.3377,-4.3147,1.2202,-10.0,0.0,2.6623
603326.SH,我乐家居,2021-01-18 11:10:37,10.0,2,841416.0,6.25641025641025,20210118,False,False,-5.4054,-0.0985,-3.1558,-0.9165,5.1387,0.0,-5.4054
002370.SZ,亚太药业,2021-01-18 14:23:34,10.0,2,1321679.0,2.150537634408592,20210118,False,False,10.0,10.0,10.101,-10.0,-4.6843,0.0,15.416699999999999
002813.SZ,路畅科技,2021-01-18 14:45:17,10.0,5,152820.0,3.4270934367927537,20210118,False,False,10.0,-7.9904,-6.3317,-5.1163,-5.5229,0.0,2.0096
003031.SZ,中瓷电子,2021-01-19 09:30:00,10.0,11,7284550.0,10.007010164738873,20210119,True,False,10.0,10.0,10.0,4.7152,1.8171,0.0,34.7152
600844.SH,丹化科技,2021-01-19 09:30:00,10.0,2,10002457.0,10.043668122270741,20210119,True,False,,,-2.9762,-7.5665,10.0,0.0,
002416.SZ,爱施德,2021-01-19 09:30:00,10.0,2,17425967.0,9.975470155355673,20210119,True,False,4.8327,-1.5603,0.2882,-10.0,-10.0,0.0,4.8327
