,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
603045.SH,福达合金,10.0,3,10.005379236148464,2021-10-21 09:30:00,5086260.0,20211021,True,False,10.0,-2.2222,-10.0,-7.7778,0.0,0.0,7.7778
001216.SZ,华瓷股份,10.0,2,9.97304582210243,2021-10-21 09:30:00,33383271.0,20211021,True,False,10.0,10.0,-10.0,-7.8178,-8.2367,0.0,2.1822
600277.SH,亿利洁能,10.0,3,4.063205417607238,2021-10-21 09:31:15,22373751.0,20211021,False,True,-3.2854,10.0,-8.4942,-0.211,-4.8626,0.0,-3.2854
600071.SH,凤凰光学,10.0,10,0.45078888054094596,2021-10-21 10:03:18,384927.0,20211021,False,False,-2.8005,2.3425,2.5635,-5.3336,-3.041,0.0,-2.8005
002922.SZ,伊戈尔,10.0,3,8.613904678618272,2021-10-21 10:05:48,3176200.0,20211021,False,False,-2.1463,10.0,-8.3456,10.0,6.9231,0.0,-2.1463
000829.SZ,天音控股,4.3158411,2,1.3732221677292846,2021-10-21 14:22:50,,20211021,False,False,3.197,-1.9134,-1.2541,1.1289,0.6977,-5.6841589,-2.4871589
600995.SH,文山电力,10.0,4,10.034305317324185,2021-10-22 09:30:00,101523137.0,20211022,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603045.SH,福达合金,10.0,4,10.024449877750614,2021-10-22 09:30:00,4531320.0,20211022,True,False,-2.2222,-10.0,-7.7778,0.0,-1.7525,0.0,-2.2222
600861.SH,北京城乡,-7.52017608,2,10.014673514306663,2021-10-22 09:30:00,,20211022,True,False,1.8247,-3.3113,-9.4279,-0.7562,3.0031,-17.52017608,-15.695476079999999
603948.SH,建业股份,-0.11607661,2,4.468949506674402,2021-10-22 09:31:30,,20211022,False,True,10.0,-0.2113,1.0588,-2.4882,-1.531,-10.11607661,-0.32737661000000035
600277.SH,亿利洁能,-3.28542094,4,8.829568788501021,2021-10-22 09:31:45,,20211022,False,False,10.0,-8.4942,-0.211,-4.8626,10.0,-13.28542094,-11.77962094
001216.SZ,华瓷股份,10.0,3,3.4313725490196,2021-10-22 10:27:47,1694424.0,20211022,False,False,10.0,-10.0,-7.8178,-8.2367,0.3324,0.0,-7.8178
600995.SH,文山电力,10.0,5,9.976617303195631,2021-10-25 09:30:00,118546396.0,20211025,True,False,10.0,10.0,10.0,10.0,-9.4385,0.0,30.561500000000002
001219.SZ,青岛食品,10.0,2,10.018348623853212,2021-10-25 09:30:00,19410543.0,20211025,True,False,10.0,10.0,-10.0,10.0,-10.0,0.0,10.0
001216.SZ,华瓷股份,10.0,4,4.735376044568254,2021-10-25 09:34:00,5677333.0,20211025,False,True,-10.0,-7.8178,-8.2367,0.3324,-4.3738,0.0,-17.8178
000416.SZ,民生控股,10.0,2,3.5128805620608987,2021-10-25 14:18:45,11255575.0,20211025,False,False,3.1915,-9.8969,0.6865,-2.7273,3.271,0.0,3.1915
600995.SH,文山电力,10.0,6,9.992912827781716,2021-10-26 09:30:00,59895250.0,20211026,True,False,10.0,10.0,10.0,-9.4385,-3.2068,0.0,20.561500000000002
001219.SZ,青岛食品,10.0,3,10.00667111407604,2021-10-26 09:30:00,34433034.0,20211026,True,False,10.0,-10.0,10.0,-10.0,-3.7427,0.0,-3.7427
605286.SH,同力日升,10.0,2,9.981933152664864,2021-10-26 09:30:00,4949628.0,20211026,True,False,10.0,4.33,10.0,10.0,6.1188,0.0,14.33
000416.SZ,民生控股,3.19148936,3,6.382978723404252,2021-10-26 09:40:30,,20211026,False,True,-9.8969,0.6865,-2.7273,3.271,-6.5611,-6.80851064,-16.70541064
603922.SH,金鸿顺,10.0,2,5.401844532279317,2021-10-26 13:23:31,48000.0,20211026,False,False,10.0,-10.0,-8.8902,-3.2858,-10.0,0.0,-8.8902
600995.SH,文山电力,10.0,7,9.98711340206186,2021-10-27 09:30:00,98016610.0,20211027,True,False,10.0,10.0,-9.4385,-3.2068,1.5461,0.0,10.5615
001219.SZ,青岛食品,10.0,4,10.00606428138267,2021-10-27 09:30:00,27319432.0,20211027,True,False,-10.0,10.0,-10.0,-3.7427,-3.0527,0.0,-13.7427
605286.SH,同力日升,10.0,3,10.02053388090348,2021-10-27 09:30:00,2066200.0,20211027,True,False,4.33,10.0,10.0,6.1188,-10.0,0.0,4.33
603922.SH,金鸿顺,10.0,3,1.6467065868263602,2021-10-27 10:01:46,174000.0,20211027,False,True,-10.0,-8.8902,-3.2858,-10.0,-3.8887,0.0,-18.8902
600995.SH,文山电力,10.0,8,10.017574692442887,2021-10-28 09:30:00,45202354.0,20211028,True,False,10.0,-9.4385,-3.2068,1.5461,1.5226,0.0,0.5615000000000006
603683.SH,晶华新材,10.0,2,3.7212449255751063,2021-10-28 09:33:18,567840.0,20211028,False,True,-5.8426,0.0,-6.597,-0.7692,10.0,0.0,-5.8426
605286.SH,同力日升,4.32997387,4,7.801418439716312,2021-10-28 09:52:04,,20211028,False,False,10.0,10.0,6.1188,-10.0,2.5689,-5.67002613,20.44877387
600995.SH,文山电力,10.0,9,10.010649627263039,2021-10-29 09:30:00,10859629.0,20211029,True,False,-9.4385,-3.2068,1.5461,1.5226,1.4462,0.0,-9.4385
