,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
002378.SZ,章源钨业,2021-02-18 09:30:00,9.96503497,2,14620300.0,9.96503496503497,20210218,True,False,10.0159,9.5376,-8.7071,9.9711,-7.2273
600549.SH,厦门钨业,2021-02-18 09:30:00,8.64138262,2,,9.98559769563131,20210218,True,False,-1.4582,-2.4215,2.3897,-3.9048,-3.4563
603399.SH,吉翔股份,2021-02-18 09:30:00,9.89847716,2,7203100.0,9.89847715736041,20210218,True,False,9.9307,10.084,-3.8168,9.9206,9.9278
605077.SH,华康股份,2021-02-18 09:30:00,10.00122264,2,1605425.0,10.001222643354923,20210218,True,False,10.0033,10.003,10.0028,-7.4065,-7.1152
600392.SH,盛和资源,2021-02-18 09:30:30,10.00962464,2,5744166.0,10.009624639076026,20210218,False,True,8.4427,-3.1868,6.2083,-8.7485,-4.0843
000837.SZ,秦川机床,2021-02-18 09:31:30,3.84,2,,4.319999999999993,20210218,False,False,0.9245,0.458,0.6079,4.8338,-3.3141
600997.SH,开滦股份,2021-02-18 13:15:29,10.0536193,2,7043099.0,5.8981233243967885,20210218,False,False,2.1924,-6.0787,-4.4416,-2.7888,-0.8197
600916.SH,中国黄金,2021-02-19 09:30:00,9.97150997,5,20349497.0,9.97150997150998,20210219,True,False,10.0173,9.9686,9.9929,9.9935,10.0295
600722.SH,金牛化工,2021-02-19 09:30:00,10.03521127,4,10103749.0,10.03521126760564,20210219,True,False,10.08,10.0291,-6.605,-10.0424,5.3459
002176.SZ,江特电机,2021-02-19 09:30:00,4.95575221,3,4495400.0,4.955752212389369,20210219,True,False,4.2159,-5.0162,2.385,-0.4992,-5.0167
605077.SH,华康股份,2021-02-19 09:30:00,10.00333444,3,1311389.0,10.00333444481494,20210219,True,False,10.003,10.0028,-7.4065,-7.1152,-9.7087
000737.SZ,南风化工,2021-02-19 09:30:00,5.04385965,2,1996471.0,5.043859649122817,20210219,True,False,5.0104,4.9702,4.9242,5.0542,-3.7801
003038.SZ,鑫铂股份,2021-02-19 09:30:00,9.98603352,2,2233056.0,9.98603351955307,20210219,True,False,10.0,10.0144,9.9948,-0.6201,-10.0072
000711.SZ,京蓝科技,2021-02-19 09:30:15,9.8540146,5,10904295.0,9.854014598540129,20210219,False,True,9.9668,-9.9698,-8.3893,-4.0293,3.0534
002378.SZ,章源钨业,2021-02-19 09:32:00,10.01589825,3,5009977.0,6.200317965023843,20210219,False,False,9.5376,-8.7071,9.9711,-7.2273,-8.6402
605006.SH,山东玻纤,2021-02-19 09:37:30,10.041841,2,1509900.0,2.510460251046031,20210219,False,False,-1.4449,0.3086,-10.0,-0.2564,-3.0848
600066.SH,宇通客车,2021-02-19 09:55:46,10.0127551,2,2088559.0,2.040816326530614,20210219,False,False,-3.7101,-4.3949,-0.4408,-3.6686,-0.3283
603399.SH,吉翔股份,2021-02-19 13:38:57,9.93071594,3,340213.0,9.69976905311778,20210219,False,False,10.084,-3.8168,9.9206,9.9278,-2.1346
601168.SH,西部矿业,2021-02-19 14:56:07,9.375,2,,3.3052884615384657,20210219,False,False,0.989,-5.4951,-2.3604,-0.4127,-7.0456
000711.SZ,京蓝科技,2021-02-22 09:30:00,9.96677741,6,10788380.0,9.966777408637883,20210222,True,False,-9.9698,-8.3893,-4.0293,3.0534,0.7407
002109.SZ,兴化股份,2021-02-22 09:30:00,9.9009901,2,7788931.0,9.90099009900991,20210222,True,False,9.9099,10.041,-10.0559,-5.176,3.0568
000960.SZ,锡业股份,2021-02-22 09:30:00,10.01977587,2,40188038.0,10.019775873434419,20210222,True,False,5.4524,2.2727,-6.2222,-7.5829,2.0513
000949.SZ,新乡化纤,2021-02-22 09:30:00,10.12048193,2,17303602.0,10.120481927710841,20210222,True,False,10.0656,-5.7654,-5.0633,-5.3333,10.0939
600331.SH,宏达股份,2021-02-22 09:30:00,9.9009901,2,21323323.0,9.90099009900991,20210222,True,False,4.5045,-9.0517,-1.4218,-1.4423,2.439
002532.SZ,天山铝业,2021-02-22 09:30:00,9.98201439,2,12960590.0,9.982014388489219,20210222,True,False,3.0253,1.5873,-5.9375,-7.6412,2.518
000737.SZ,南风化工,2021-02-22 09:30:00,5.01043841,3,4327090.0,5.0104384133611735,20210222,True,False,4.9702,4.9242,5.0542,-3.7801,-0.8929
003038.SZ,鑫铂股份,2021-02-22 09:30:00,10,3,14711953.0,9.999999999999996,20210222,True,False,10.0144,9.9948,-0.6201,-10.0072,-6.6667
600722.SH,金牛化工,2021-02-22 09:30:00,10.08,5,19642331.0,10.079999999999998,20210222,True,False,10.0291,-6.605,-10.0424,5.3459,10.0
600916.SH,中国黄金,2021-02-22 09:30:00,10.01727116,6,20060039.0,10.017271157167531,20210222,True,False,9.9686,9.9929,9.9935,10.0295,-9.9732
605077.SH,华康股份,2021-02-22 09:30:00,10.00303122,4,696108.0,10.003031221582303,20210222,True,False,10.0028,-7.4065,-7.1152,-9.7087,3.2258
002591.SZ,恒大高新,2021-02-22 09:30:00,9.98116761,2,34551115.0,9.981167608286258,20210222,True,False,-4.7945,-6.6547,-3.2755,1.5936,0.7843
002378.SZ,章源钨业,2021-02-22 09:30:45,9.53757225,4,,8.381502890173412,20210222,False,True,-8.7071,9.9711,-7.2273,-8.6402,10.0775
000422.SZ,湖北宜化,2021-02-22 09:33:30,4.60122699,2,,1.840490797546014,20210222,False,False,4.9853,5.0279,5.0532,-5.0633,4.5333
002176.SZ,江特电机,2021-02-22 09:37:48,4.2158516,4,,1.1804384485666153,20210222,False,False,-5.0162,2.385,-0.4992,-5.0167,4.9296
600280.SH,中央商场,2021-02-22 09:39:11,-1.40350877,2,,1.7543859649122744,20210222,False,False,4.9822,3.0508,4.9342,0.627,2.1807
002092.SZ,中泰化学,2021-02-22 10:02:47,7.63765542,2,,8.969804618117227,20210222,False,False,1.5677,-9.9919,-4.1516,-0.3766,0.5671
603655.SH,朗博科技,2021-02-22 10:07:41,10.00558971,2,478622.0,0.6148686416992701,20210222,False,False,10.0102,7.5289,-3.6082,5.615,0.8439
603399.SH,吉翔股份,2021-02-22 10:49:23,10.08403361,4,1551498.0,-1.0504201680672232,20210222,False,False,-3.8168,9.9206,9.9278,-2.1346,
000408.SZ,藏格矿业,2021-02-22 13:04:59,2.63157895,2,,2.8508771929824737,20210222,False,False,-5.0214,-4.9494,4.9704,-4.9605,4.745
600916.SH,中国黄金,2021-02-23 09:30:00,9.96860283,7,24714665.0,9.968602825745679,20210223,True,False,9.9929,9.9935,10.0295,-9.9732,10.006
600722.SH,金牛化工,2021-02-23 09:30:00,10.02906977,6,3142956.0,10.029069767441866,20210223,True,False,-6.605,-10.0424,5.3459,10.0,-8.4125
000737.SZ,南风化工,2021-02-23 09:30:00,4.97017893,4,5930094.0,4.970178926441352,20210223,True,False,4.9242,5.0542,-3.7801,-0.8929,-5.045
003038.SZ,鑫铂股份,2021-02-23 09:30:00,10.01443001,4,13662207.0,10.014430014430012,20210223,True,False,9.9948,-0.6201,-10.0072,-6.6667,-9.5143
002591.SZ,恒大高新,2021-02-23 09:30:00,-4.79452055,3,,9.93150684931507,20210223,True,False,-6.6547,-3.2755,1.5936,0.7843,-3.3074
000683.SZ,远兴能源,2021-02-23 09:30:00,9.96309963,2,24047060.0,9.963099630996311,20210223,True,False,-3.6913,-7.6655,-4.1509,5.9055,-6.3197
600295.SH,鄂尔多斯,2021-02-23 09:30:00,10.00613874,2,6640583.0,10.00613873542052,20210223,True,False,2.0089,1.4223,2.1575,9.9789,6.7211
605077.SH,华康股份,2021-02-23 09:30:45,10.00275558,5,629947.0,5.630568568016897,20210223,False,True,-7.4065,-7.1152,-9.7087,3.2258,-6.4479
603188.SH,亚邦股份,2021-02-23 09:32:30,-0.18115942,2,,3.2608695652174027,20210223,False,False,-1.6334,-1.845,4.6992,-0.1795,-0.8993
002109.SZ,兴化股份,2021-02-23 09:34:15,9.90990991,3,10262850.0,0.2252252252252204,20210223,False,False,10.041,-10.0559,-5.176,3.0568,9.9576
603655.SH,朗博科技,2021-02-23 09:42:15,10.0101626,3,1259700.0,2.997967479674796,20210223,False,False,7.5289,-3.6082,5.615,0.8439,-8.4519
000949.SZ,新乡化纤,2021-02-23 13:12:21,10.06564551,3,3778600.0,0.0,20210223,False,False,-5.7654,-5.0633,-5.3333,10.0939,-9.3817
002532.SZ,天山铝业,2021-02-23 13:39:21,3.02534751,3,,2.207686017988549,20210223,False,False,1.5873,-5.9375,-7.6412,2.518,-7.8947
