,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
300391.SZ,康跃科技,10.0,3,10.020661157024799,2020-01-10 09:30:00,5469150.0,20200110,True,False,0.4695,2.6168,-10.0,-4.9595,-5.6443,0.0,0.4695
601258.SH,庞大集团,-4.9689441,3,4.968944099378873,2020-01-10 09:30:00,,20200110,True,False,5.2288,,1.2422,-4.908,-1.9355,-14.9689441,-9.7401441
300811.SZ,铂科新材,10.0,9,10.00617665225447,2020-01-13 09:30:00,3753738.0,20200113,True,False,10.0,10.0,-4.8812,-10.0,-1.7991,0.0,10.0
002973.SZ,侨银股份,10.0,5,9.991742361684565,2020-01-13 09:30:00,4398281.0,20200113,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
300812.SZ,易天股份,10.0,2,10.00294204177699,2020-01-13 09:30:00,2234600.0,20200113,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
002641.SZ,永高股份,10.0,2,4.983388704318949,2020-01-13 09:30:45,11123788.0,20200113,False,True,8.3082,-6.6946,-3.8864,-0.6221,1.7214,0.0,8.3082
002277.SZ,友阿股份,10.0,2,3.6585365853658627,2020-01-13 09:44:30,1013818.0,20200113,False,False,-1.3304,-8.9888,-1.4815,-3.5088,1.039,0.0,-1.3304
300811.SZ,铂科新材,10.0,10,10.005614823133067,2020-01-14 09:30:00,3910545.0,20200114,True,False,10.0,-4.8812,-10.0,-1.7991,-5.0767,0.0,10.0
002973.SZ,侨银股份,10.0,6,9.984984984984985,2020-01-14 09:30:00,3105315.0,20200114,True,False,10.0,10.0,10.0,10.0,-8.9977,0.0,31.002299999999998
300812.SZ,易天股份,10.0,3,10.002674511901583,2020-01-14 09:30:00,1786100.0,20200114,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
002235.SZ,安妮股份,10.0,2,5.985915492957744,2020-01-14 09:31:15,7804694.0,20200114,False,True,-2.8,-2.0576,-3.6975,0.9599,-5.7908,0.0,-2.8
600327.SH,大东方,10.0,2,8.520179372197306,2020-01-14 09:32:30,8195065.0,20200114,False,False,-6.3136,10.0,10.0,5.5655,-10.0,0.0,-6.3136
002878.SZ,元隆雅图,2.52401161,2,4.9810140719231555,2020-01-14 13:31:30,,20200114,False,False,-5.4902,1.1526,-3.7147,-4.7811,-4.7228,-7.4759883899999995,-12.96618839
300811.SZ,铂科新材,10.0,11,10.00408329930585,2020-01-15 09:30:00,833426.0,20200115,True,False,-4.8812,-10.0,-1.7991,-5.0767,-0.2209,0.0,-4.8812
002973.SZ,侨银股份,10.0,7,10.034129692832769,2020-01-15 09:30:00,5198696.0,20200115,True,False,10.0,10.0,10.0,-8.9977,-9.8361,0.0,21.002299999999998
300812.SZ,易天股份,10.0,4,9.992706053975198,2020-01-15 09:30:00,1884922.0,20200115,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
