,strong,ztjs,lbgd,Day,df_num
348,55,68,4,2020-07-22,1
349,55,84,6,2020-07-21,10
350,77,138,5,2020-07-20,1
351,44,58,5,2020-07-17,2
352,27,21,5,2020-07-16,26
353,59,66,10,2020-07-15,19
354,85,107,9,2020-07-14,12
355,100,212,8,2020-07-13,8
356,89,121,9,2020-07-10,10
357,100,185,10,2020-07-09,0
358,93,145,9,2020-07-08,1
359,86,111,8,2020-07-07,4
360,100,189,7,2020-07-06,0
361,72,82,6,2020-07-03,0
362,65,78,5,2020-07-02,2
363,52,56,4,2020-07-01,1
364,63,78,4,2020-06-30,1
365,38,43,4,2020-06-29,4
366,37,34,4,2020-06-24,2
367,36,45,3,2020-06-23,3
368,38,44,3,2020-06-22,3
369,52,56,7,2020-06-19,2
370,46,49,6,2020-06-18,16
371,53,63,5,2020-06-17,3
372,62,66,4,2020-06-16,3
373,49,69,5,2020-06-15,3
374,50,58,5,2020-06-12,0
375,37,46,4,2020-06-11,2
376,36,37,4,2020-06-10,5
377,50,50,4,2020-06-09,2
378,37,34,3,2020-06-08,6
379,53,51,5,2020-06-05,12
380,67,69,6,2020-06-04,3
381,63,78,8,2020-06-03,1
382,76,79,10,2020-06-02,13
383,90,128,9,2020-06-01,0
384,61,65,8,2020-05-29,1
385,52,45,9,2020-05-28,4
386,57,58,8,2020-05-27,2
387,77,97,7,2020-05-26,0
388,47,45,6,2020-05-25,5
389,42,37,7,2020-05-22,3
390,49,54,6,2020-05-21,7
391,53,60,7,2020-05-20,6
392,63,74,6,2020-05-19,2
393,51,59,5,2020-05-18,3
394,52,53,8,2020-05-15,2
395,43,40,7,2020-05-14,2
396,54,64,6,2020-05-13,2
397,42,45,5,2020-05-12,0
398,40,47,4,2020-05-11,1
399,53,62,5,2020-05-08,1
400,43,47,4,2020-05-07,3
401,71,89,5,2020-05-06,0
402,61,78,4,2020-04-30,1
403,39,44,3,2020-04-29,2
404,29,32,3,2020-04-28,4
405,37,43,5,2020-04-27,3
406,33,30,5,2020-04-24,12
407,49,69,5,2020-04-23,4
408,62,81,7,2020-04-22,2
409,45,55,6,2020-04-21,4
410,57,72,5,2020-04-20,1
411,40,44,4,2020-04-17,12
412,54,72,4,2020-04-16,2
413,41,48,5,2020-04-15,4
414,58,70,4,2020-04-14,2
415,34,46,3,2020-04-13,2
416,29,31,4,2020-04-10,19
417,64,91,5,2020-04-09,7
418,64,74,5,2020-04-08,9
419,92,139,6,2020-04-07,0
420,45,58,5,2020-04-03,2
421,61,89,4,2020-04-02,0
422,33,34,3,2020-04-01,3
423,40,60,4,2020-03-31,2
424,28,35,9,2020-03-30,1
425,32,40,8,2020-03-27,9
426,36,48,7,2020-03-26,5
427,65,96,6,2020-03-25,1
428,52,74,5,2020-03-24,14
429,33,39,5,2020-03-23,7
430,61,89,4,2020-03-20,8
431,55,69,5,2020-03-19,2
432,37,45,4,2020-03-18,11
433,44,65,3,2020-03-17,5
434,39,42,6,2020-03-16,17
435,42,66,5,2020-03-13,14
436,54,52,13,2020-03-12,9
437,72,73,12,2020-03-11,13
438,79,122,11,2020-03-10,12
439,65,80,10,2020-03-09,10
440,72,97,9,2020-03-06,8
441,95,144,8,2020-03-05,7
442,75,90,7,2020-03-04,6
443,86,99,6,2020-03-03,9
444,84,192,5,2020-03-02,1
445,28,42,4,2020-02-28,13
446,63,89,7,2020-02-27,23
447,63,81,6,2020-02-26,25
448,93,136,8,2020-02-25,1
449,89,156,7,2020-02-24,1
450,70,98,6,2020-02-21,7
451,76,111,5,2020-02-20,0
452,59,86,6,2020-02-19,14
453,100,125,11,2020-02-18,7
454,100,163,10,2020-02-17,1
455,53,58,9,2020-02-14,4
456,49,51,8,2020-02-13,10
457,70,110,8,2020-02-12,0
458,49,51,7,2020-02-11,17
459,92,145,8,2020-02-10,25
460,100,171,10,2020-02-07,31
461,100,240,9,2020-02-06,1
462,100,166,8,2020-02-05,0
463,77,153,7,2020-02-04,1
464,41,80,6,2020-02-03,3
465,33,24,7,2020-01-23,4
466,45,51,6,2020-01-22,8
467,49,52,6,2020-01-21,2
468,49,65,5,2020-01-20,2
469,37,34,5,2020-01-17,6
470,33,36,4,2020-01-16,1
471,31,35,3,2020-01-15,5
472,40,50,3,2020-01-14,6
473,47,63,3,2020-01-13,0
474,37,38,4,2020-01-10,8
475,57,61,5,2020-01-09,3
476,40,50,17,2020-01-08,7
477,71,81,16,2020-01-07,6
478,58,74,15,2020-01-06,1
479,55,57,14,2020-01-03,11
480,76,80,13,2020-01-02,1
481,55,46,12,2019-12-31,2
482,49,43,19,2019-12-30,3
483,45,42,18,2019-12-27,5
484,54,52,17,2019-12-26,1
485,40,43,16,2019-12-25,3
486,56,51,15,2019-12-24,1
487,26,21,14,2019-12-23,8
488,43,41,13,2019-12-20,6
489,55,51,12,2019-12-19,3
490,49,53,11,2019-12-18,1
491,59,50,10,2019-12-17,1
492,65,60,9,2019-12-16,0
493,53,36,8,2019-12-13,1
494,39,31,7,2019-12-12,5
495,37,30,6,2019-12-11,3
496,44,38,5,2019-12-10,0
497,39,25,4,2019-12-09,0
498,48,40,6,2019-12-06,1
499,47,30,9,2019-12-05,1
500,38,21,8,2019-12-04,1
501,40,30,7,2019-12-03,4
502,35,24,5,2019-12-02,3
503,33,22,7,2019-11-29,1
504,26,20,6,2019-11-28,3
505,28,18,5,2019-11-27,0
506,34,21,4,2019-11-26,3
507,48,34,7,2019-11-25,3
508,36,22,6,2019-11-22,3
509,37,29,5,2019-11-21,2
510,35,31,5,2019-11-20,4
511,55,53,4,2019-11-19,1
512,42,33,3,2019-11-18,5
513,28,25,5,2019-11-15,5
514,42,37,6,2019-11-14,3
515,30,26,5,2019-11-13,2
516,35,28,4,2019-11-12,0
517,20,18,3,2019-11-11,2
518,29,30,2,2019-11-08,4
519,41,34,5,2019-11-07,0
520,28,21,4,2019-11-06,1
521,33,21,6,2019-11-05,1
522,34,26,5,2019-11-04,6
523,45,33,11,2019-11-01,1
524,29,16,6,2019-10-31,6
525,33,23,5,2019-10-30,7
526,46,37,4,2019-10-29,8
527,69,146,5,2019-10-28,0
528,45,30,6,2019-10-25,0
529,38,25,5,2019-10-24,0
530,30,32,4,2019-10-23,1
531,44,41,3,2019-10-22,1
532,32,32,3,2019-10-21,1
533,42,30,11,2019-10-18,1
534,41,25,10,2019-10-17,0
535,39,28,9,2019-10-16,0
536,40,40,8,2019-10-15,4
537,63,68,5,2019-10-14,1
538,41,47,4,2019-10-11,0
539,51,55,4,2019-10-10,0
540,43,34,3,2019-10-09,0
541,39,37,4,2019-10-08,0
542,31,12,3,2019-09-30,3
543,31,44,3,2019-09-27,1
544,31,24,7,2019-09-26,19
545,32,27,6,2019-09-25,16
546,45,42,5,2019-09-24,33
547,36,33,16,2019-09-23,12
548,42,37,6,2019-09-20,18
549,52,50,5,2019-09-19,11
550,38,34,4,2019-09-18,26
551,25,28,4,2019-09-17,14
552,40,40,3,2019-09-16,31
553,45,44,4,2019-09-12,15
554,36,35,5,2019-09-11,18
555,51,53,5,2019-09-10,26
556,65,87,4,2019-09-09,21
557,41,39,3,2019-09-06,21
558,54,58,7,2019-09-05,39
559,53,54,5,2019-09-04,18
560,56,53,6,2019-09-03,28
561,62,79,5,2019-09-02,31
