,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
600793.SH,宜宾纸业,2021-01-18 09:34:45,10.01707456,8.138873079112122,8,2300380.0,20210118,False,False,9.9845,-7.3377,-4.3147,1.2202,-10.0105
603326.SH,我乐家居,2021-01-18 11:10:37,10.05128205,6.25641025641025,2,841416.0,20210118,False,False,-5.4054,-0.0985,-3.1558,-0.9165,5.1387
002370.SZ,亚太药业,2021-01-18 14:23:34,9.94623656,2.150537634408592,2,1321679.0,20210118,False,False,10.0244,10.0,10.101,-9.9083,-4.6843
002813.SZ,路畅科技,2021-01-18 14:45:17,9.99030068,3.4270934367927537,5,152820.0,20210118,False,False,9.9941,-7.9904,-6.3317,-5.1163,-5.5229
003031.SZ,中瓷电子,2021-01-19 09:30:00,10.00701016,10.007010164738873,11,7284550.0,20210119,True,False,10.0048,10.0072,10.0053,4.7152,1.8171
600844.SH,丹化科技,2021-01-19 09:30:00,10.04366812,10.043668122270741,2,10002457.0,20210119,True,False,,,-2.9762,-7.5665,9.9558
002416.SZ,爱施德,2021-01-19 09:30:00,9.97547016,9.975470155355673,2,17425967.0,20210119,True,False,4.8327,-1.5603,0.2882,-9.9856,-9.9761
003032.SZ,传智教育,2021-01-19 09:30:00,9.98317443,9.9831744251262,5,14873197.0,20210119,True,False,9.9949,10.0139,-9.9874,-5.3371,6.3304
002263.SZ,大东南,2021-01-19 09:30:00,-3.82513661,10.109289617486342,3,,20210119,True,False,9.9432,-4.9096,-10.0543,-6.9486,-6.1688
603500.SH,祥和实业,2021-01-19 09:30:45,10.03745318,6.3670411985018704,3,2624640.0,20210119,False,True,10.0068,-10.0248,-9.9725,-10.0076,-6.0272
002681.SZ,奋达科技,2021-01-19 09:30:45,2.27272727,4.545454545454529,3,,20210119,False,False,5.1111,-2.537,4.9892,4.9587,0.0
600793.SH,宜宾纸业,2021-01-19 09:33:15,9.98448008,8.484221417485777,9,956939.0,20210119,False,False,-7.3377,-4.3147,1.2202,-10.0105,-10.0175
002280.SZ,联络互动,2021-01-19 09:33:45,5.16129032,4.5161290322580685,3,1232675.0,20210119,False,False,-0.6135,-1.8519,-1.8868,5.1282,4.878
000918.SZ,嘉凯城,2021-01-19 09:35:45,9.95575221,1.5486725663716878,2,4902200.0,20210119,False,False,-4.4266,-3.7895,-0.6565,1.1013,10.0218
603026.SH,石大胜华,2021-01-19 09:38:15,10.00196117,1.157089625416741,2,596326.0,20210119,False,False,-4.4393,2.6679,9.9945,5.8814,1.7944
601015.SH,陕西黑猫,2021-01-19 09:45:02,10,6.222222222222228,2,3612198.0,20210119,False,False,10.101,10.0917,6.1667,10.0471,9.9857
002370.SZ,亚太药业,2021-01-19 09:55:02,10.02444988,4.889975550122254,3,4918616.0,20210119,False,False,10.0,10.101,-9.9083,-4.6843,-10.0427
002305.SZ,南国置业,2021-01-19 10:13:24,10.15625,5.078124999999996,4,20031688.0,20210119,False,False,9.9291,-9.0323,-9.9291,-9.8425,-5.2402
300906.SZ,日月明,2021-01-19 10:21:44,19.99253313,11.31230166137764,3,769903.0,20210119,False,False,-1.6024,1.7075,-10.928,0.6981,2.9463
000155.SZ,川能动力,2021-01-19 10:48:53,0.54815975,5.716523101018015,2,,20210119,False,False,9.9688,-0.7082,9.9857,3.3722,7.4655
002813.SZ,路畅科技,2021-01-19 14:49:53,9.99412111,-4.438565549676675,6,448100.0,20210119,False,False,-7.9904,-6.3317,-5.1163,-5.5229,-0.9339
003031.SZ,中瓷电子,2021-01-20 09:30:00,10.00477935,10.004779353194191,12,6351616.0,20210120,True,False,10.0072,10.0053,4.7152,1.8171,-10.0011
600238.SH,海南椰岛,2021-01-20 09:30:00,5.03067485,5.030674846625768,2,1506499.0,20210120,True,False,1.5187,1.3809,4.9943,-2.9189,3.8976
002176.SZ,江特电机,2021-01-20 09:30:00,5.07246377,5.072463768115947,2,6308500.0,20210120,True,False,5.0,4.9261,5.0078,5.0671,-0.9929
600280.SH,中央商场,2021-01-20 09:30:00,4.95867769,4.958677685950418,2,2876998.0,20210120,True,False,-1.1811,0.3984,5.1587,1.8868,-4.8148
